,title,pubDate,description,link
0,UK police officer Wayne Couzens pleads guilty to killing Sarah Everard,2021-07-08 00:00:00.000000,"A British police officer pleaded guilty Friday to murdering a 33-year-old woman who was abducted as she walked home from a friend's house in south London./nWayne Couzens previously admitted kidnapping and raping Sarah Everard/n, a marketing executive who went missing on March 3. Couzens entered a guilty plea to murder during a hearing at London's Central Criminal Court, appearing by video link from Belmarsh high-security prison./nA major police investigation was launched after Everhard's disappearance./nHer body was found a week later in woodland/nmore than 80 kilometres southeast of London./nThe search for Everard and news of her killing caused a nationwide outcry, with women sharing experiences of being threatened, attacked or simply facing the everyday fear of violence when walking alone./nPolice in the UK capital came in for criticism after some women attending a vigil for Everard were detained for breaching coronavirus restrictions./nREAD MORE:/n/nMet Police chief will not resign over Sarah Everard vigil scenes/nCouzens, 48, joined London's Metropolitan Police in 2018 and had most recently served in the parliamentary and diplomatic protection command, an armed unit responsible for guarding embassies in the capital and Parliament./nProsecutor Tom Little said Couzens abducted Everard, a complete stranger, in a rented car hours after he finished a 12-hour policing shift. Her body was found in woods close to a piece of land owned by Couzens. Despite his guilty plea, prosecutors said Couzens has not revealed where he raped and killed Everard./n""We still do not know what drove him to commit this appalling crime against a stranger,"" said Carolyn Oakley of the Crown Prosecution Service./n""Today is not the day for hearing the facts about what happened to Sarah. Today is a day to remember Sarah, and our thoughts remain with her family and friends.""/nCouzens is due to be sentenced during a two-day hearing that starts September 29./nThe police force has expressed shock and horror at his crime, but faces an investigation by the policing watchdog over how it handled an allegation of indecent exposure against Couzens days before Everard was abducted./nMetropolitan Police Commissioner Cressida Dick said she had told Everard's family ""how very sorry I'm am for their loss, for their pain and their suffering.""/n""All of us in the Met are sickened, angered and devastated by this man's truly dreadful crimes,"" she said. ""Everyone in policing feels betrayed.""",https://www.9news.com.au/world/wayne-couzens-pleads-guilty-sarah-everard-murder/82c09a30-9223-4072-8890-1fd997dad5a9
1,UK court allows US to appeal denial of Julian Assange's extradition,2021-07-08 00:00:00.000000,"Britain's High Court has granted the US government permission to appeal a decision that WikiLeaks founder/nJulian Assange/ncannot be sent to the United States to face espionage charges./nThe judicial office said Wednesday that the appeal had been granted and the case would be listed for a High Court hearing. No date has been set./nIn January, a lower court judge refused an American request to send Assange to the US to face spying charges over WikiLeaks' publication of secret military documents a decade ago. District Judge Vanessa Baraitser denied extradition on health grounds, saying Assange was likely to kill himself if held under harsh US prison conditions./nREAD MORE:/nTragedy saves Julian Assange from being extradited to US/nThe judge ordered that Assange must remain in prison during any potential US appeal, ruling that the Australian citizen ""has an incentive to abscond"" if he were freed./nAssange, 50, has been in London' high-security Belmarsh Prison since he was arrested in April 2019 for skipping bail seven years earlier during a separate legal battle./nAssange spent seven years holed up inside Ecuador's London embassy, where he fled in 2012 to avoid extradition to Sweden to face allegations of rape and sexual assault. Sweden dropped the sex crimes investigations in November 2019 because so much time had elapsed./nUS prosecutors have indicted Assange on 17 espionage charges and one charge of computer misuse over WikiLeaks' publication of thousands of leaked military and diplomatic documents. The charges carry a maximum sentence of 175 years in prison./nREAD MORE:/nAssange bugged while at Ecuadorian Embassy, UK court told/nThe prosecutors say Assange unlawfully helped US Army intelligence analyst Chelsea Manning steal classified diplomatic cables and military files that WikiLeaks later published. Lawyers for Assange argue that he was acting as a journalist and is entitled to First Amendment freedom of speech protections for publishing documents that exposed US military wrongdoing in Iraq and Afghanistan./nAssange's fiancée, Stella Moris, urged US President Joe Biden on Wednesday to drop the prosecution launched under his predecessor, Donald Trump./nMoris, who has two young sons with Assange, said outside the High Court that the WikiLeaks founder was ""very unwell"" in prison./n""He won his case in January. Why is he even in prison?"" she said./n""I'm appealing to the Biden administration to do the right thing. This appeal was taken two days before the Trump administration left office, and if the Biden administration is serious about respecting the rule of law, the First Amendment and defending global press freedom, the only thing it can do is drop this case.""",https://www.9news.com.au/world/julian-assange-uk-court-allows-us-appeal-denial-of-extradition/eca89707-1ba8-4f95-b78a-620bf9061fa2
2,"How the UK is opening up in the face of 100,000 daily cases, while Australia remains locked down",2021-07-12 00:00:00.000000,"In 12 days, England will head into ""uncharted territory"", lifting national/ncoronavirus/nrestrictions despite bracing for up to 100,000 new cases each day in the months ahead./nIn Australia, where lockdowns are frequently imposed on single and low double-digit cases, many will find the UK strategy alien and remarkable./nSydney has just/nextended a two-week lockdown/nby at least another seven days, after recording 164 cases in the last week. That's an average of 23 cases each day./nREAD MORE:/n/nNot a race? The graphs that rank Australia dead last/nMore than 34,000 Aussies remain stranded abroad, unable to come home or visit dying loved ones, because of locked borders and rare-as-hen's-teeth flights which now attract/nastronomical five-figure prices/n./nMeanwhile, the UK government is opening up England on July 19, even though its data modelling is predicting daily case numbers could hit 50,000 and even spike to 100,000./nJust over 64 per cent of the UK population has been fully vaccinated, according to latest government figures, compared to Australia's 7.4 per cent, one of the worst rates in the developed world./nWhat all this means, according to Stephen Duckett, the former secretary of the Department of Health, is that Australia is fighting a new coronavirus war with old COVID-19 weaponry./n""As is universally acknowledged,"" he said, ""the Australian rollout has been a complete and utter trainwreck./n""We started slowly, which in and of itself is not a bad thing./n""But then we didn't actually implement it well./n""And so we are at the bottom of any international league table in terms of proportion of the population fully vaccinated./n""In terms of policy and the public health response to COVID, we're still in 2020. We haven't moved into 2021./n""Other countries, like the UK, have moved into 2021, high rates of vaccination and so on, where we're still in 2020, with essentially very, very low rates of vaccination.""/nAs indicated by Sydney's extended lockdown, Mr Duckett said, Australian states and territories are left with one option - test, trace and isolate./n""We have to continue with lockdowns and restrictions, because we haven't got the vaccination rates up.""/nIn stark contrast, this week UK Prime Minister Boris Johnson said the ""continuing effectiveness"" of the vaccine rollout in England allowed it to consider loosening restrictions, rather than tightening them, as cases rise./nFrom July 19, masks will no longer be mandatory./nThere will be no limit on capacity in pubs and restaurants, and guidance urging people to work from home if they can will be scrapped./nTomorrow, Wembley Stadium will be filled with 60,000 football fans to watch England play Denmark./nNext week, hundreds of thousands of school children in Greater Sydney will begin term three in online classes from home./n""The UK is in a very different situation from Australia,"" Mr Duckett said, because of the huge differences in vaccination rates./n""They're in a situation where, for most people, and particularly for people over 60, if they do get infected with coronavirus, there will not be a hospitalisation or death./n""That is what the vaccines have been designed to do,"" he said, saying that ""even though there are a large number of cases (in the UK), the hospitalisation rates and the death rate is quite low.""/nREAD MORE:/n/nDutch crime reporter shot, badly wounded in Amsterdam street/nThe UK is expecting a third wave of COVID-19, where the Delta variant will be dominant, to have lower rates of hospitalisations and deaths because of vaccinations, British health secretary Sajid Javid said./nSignalling their confidence in the vaccine, from August 16, people and children in England who have been fully vaccinated will no longer have to self-isolate after close contact with someone who tests positive for COVID-19./n""Because this is uncharted territory for any country in the world, as you go further out, week by week, the projections are even less reliable,"" Mr Javid said, explaining the government was bracing for high daily numbers./n""As we ease and go into the summer, we expect them to rise./n""They could go as high as 100,000./n""We want to be very straightforward about this in what we can expect in terms of case numbers. But what matters more than anything is hospitalisation and death numbers.""/nMr Duckett said he was not convinced the UK should be opening up quite so quickly, but he ""understood the logic of the decision"" they've made.",https://www.9news.com.au/world/coronavirus-how-is-uk-opening-up/7cd546b3-edc7-41c0-8c7e-66aa3d0f28f7
3,"Boris Johnson says COVID-19 restrictions to ease, UK must live with virus",2021-07-08 00:00:00.000000,"British Prime Minister Boris Johnson confirmed Monday that his government plans to scrap laws requiring face masks and social distancing later this month, though he acknowledged that lifting the restrictions will drive surging coronavirus cases even higher./nJohnson said legal controls will be replaced by ""personal responsibility"" when the country moves to the final stage of its lockdown-lifting roadmap. That is scheduled to happen on July 19, though Johnson said a final decision would come on July 12./nThe change will mean people can throw away masks after months of enforced face-covering, though businesses and transit operators may still require them, and they will still be recommended in some enclosed spaces./nThe removal of social distancing rules will allow nightclubs to reopen after 16 months of enforced shutdown, and patrons to once again order drinks at the bar in a pub. No longer will customers have to scan a phone app to provide their contact details when entering a restaurant or bar./nThe government will also stop instructing people to work from home if they can, leaving employers free to bring staff back to offices./nThe changes apply in England. Other parts of the UK — Scotland, Wales and Northern Ireland — are following their own, broadly similar, road maps out of lockdown./nBritain has recorded more than 128,000 coronavirus deaths, the highest toll in Western Europe, and infections are rising due to the highly transmissible delta variant of the virus. Confirmed cases have shot up from about 2000 a day earlier this year to 25,000 a day in the past week. But the number of deaths is broadly stable, at fewer than 20 a day./nPublic health officials say Britain's vaccination program has weakened the link between infections and deaths, though not severed it. So far, 86 per cent of UK adults have received at least one vaccine dose and 64 per cent are fully vaccinated. The government aims to give everyone over 18 both shots by mid-September./nJohnson acknowledged that infections, hospitalisations and deaths will all rise once remaining restrictions are lifted./n""I want to stress from the outset that this pandemic is far from over,"" he said, predicting that cases could hit 50,000 a day by July 19. ""We must reconcile ourselves, sadly, to more deaths from COVID.""/nJohnson said Britain would have to ""learn to live with this virus"" — a major shift in tone from a leader who has previously painted COVID-19 as an enemy to be vanquished./nThat message will be welcomed by lockdown-skeptic lawmakers in Johnson's governing Conservative Party, who say the economic and social damage of restrictions outweighs the public health benefits, and Britain's populist press, which have dubbed July 19 ""freedom day.""/nBut public health officials and scientists have urged caution, saying ditching masks and social distancing altogether could be dangerous. Psychologist Stephen Reicher, a member of the government's scientific advisory committee, said ""proportionate mitigations"" against the spread of the virus should stay in place./n""I think we need very clear messaging and I think in certain spaces — crowded, badly ventilated spaces — masks are crucial mitigation,"" he told the BBC./nThe British government, which enforced one of the longest lockdowns in the world, has lifted restrictions for England in a series of steps that began with reopening schools in March. The fourth and final stage was delayed last month to provide time for more people to be vaccinated amid the rapid spread of the delta variant, which was first discovered in India./nJonathan Ashworth, health spokesman for the opposition Labour Party, said the government should exercise more caution./n""We're not out of the woods,"" he said. ""We want to see the lockdown end but we need lifesaving mitigation in place. We still need sick pay, local contact tracing, continued mask wearing, ventilation and support for children to prevent serious illness.""/nPaul Hunter, professor in medicine at the University of East Anglia, said it made sense to ease restrictions in summer, when schools are closed, people spend more time outdoors and other respiratory infections are at a low level./n""The disease burden associated with a larger peak during the summer would likely be less than one during the winter,"" Hunter said./nBut Richard Tedder, a virologist at Imperial College London, said easing up while infections are still rampant ""comes with the very real risk of facilitating the escape of variants which will be even more resistant to vaccines and potentially more infectious./n""Failing to recognise this is playing with fire,"" he said.",https://www.9news.com.au/world/uk-coronavirus-restrictions-to-ease-must-live-with-virus-boris-johnson-says/0d113cd5-7fab-4357-8373-0a074bd5be0f
4,NSA discloses hacking methods it says are used by Russia,2021-07-12 00:00:00.000000,"US and British agencies have disclosed details of “brute force” methods they say were used by/nRussian/nintelligence to try to break into the cloud services of hundreds of government agencies, energy companies and other organisations./nAn advisory released by the US National Security Agency describes attacks by operatives linked to the GRU, the Russian military intelligence agency, which has been previously tied to major/ncyberattacks/nabroad and efforts to disrupt the 2016 and 2020 American elections./nIn a statement, NSA Cybersecurity Director Rob Joyce said the campaign was “likely ongoing, on a global scale.”/nREAD MORE:/nExperts warn Australian Cyberattacks to grow exponentially/nREAD MORE:/nRussia tests giant nuclear submarine equipped with secret weapons/nBrute force attacks involve the automated spraying of sites with potential passwords until hackers gain access./nThe advisory urges companies to adopt methods long urged by experts as common-sense cyber hygiene, including the use of multi-factor authentication and mandating strong passwords./nIssued during a devastating wave of ransomware attacks on governments and key infrastructure, the advisory does not disclose specific targets of the campaign or its presumed purpose, saying only that hackers have targeted hundreds of organisations worldwide./nThe NSA said GRU-linked operatives have tried to break into networks using Kubernetes, an open-source tool originally developed by Google to manage cloud services, since at least mid-2019 through early this year./nWhile a “significant amount” of the attempted break-ins targeted organisations using Microsoft's Office 365 cloud services, the hackers went after other cloud providers and email servers as well, the NSA said./nThe US has long accused Russia of using and tolerating cyberattacks for espionage, spreading disinformation, and the disruption of governments and key infrastructure./nThe Russian Embassy in Washington on Thursday “strictly” denied the involvement of Russian government agencies in cyberattacks on US government agencies or private companies./nIn a statement posted on Facebook, the embassy said, “We hope that the American side will abandon the practice of unfounded accusations and focus on professional work with Russian experts to strengthen international information security.”/nJoe Slowik, a threat analyst at the network-monitoring firm Gigamon, said the activity described by NSA on Thursday shows the GRU has further streamlined an already popular technique for breaking into networks./nHe said it appears to overlap with Department of Energy reporting on brute force intrusion attempts in late 2019 and early 2020 targeting the US energy and government sectors and is something the US government has apparently been aware of for some time./nSlowik said the use of Kubernetes “is certainly a bit unique, although on its own it doesn’t appear worrying.”/nHe said the brute force method and lateral movement inside networks described by NSA are common among state-backed hackers and criminal ransomware gangs, allowing the GRU to blend in with other actors./nJohn Hultquist, vice president of analysis at the cybersecurity firm Mandiant, characterised the activity described in the advisory as “routine collection against policy makers, diplomats, the military, and the defence industry.”/n“This is a good reminder that the GRU remains a looming threat, which is especially important given the upcoming Olympics, an event they may well attempt to disrupt,” Hultquist said in a statement./nThe FBI and the Cybersecurity and Infrastructure Security Agency joined the advisory, as did the British National Cyber Security Centre./nThe GRU has been repeatedly linked by US officials in recent years to a series of hacking incidents./nIn 2018, special counsel Robert Mueller’s office charged 12 military intelligence officers with hacking Democratic emails that were then released by WikiLeaks in an effort to harm Hillary Clinton’s presidential campaign and boost Donald Trump’s bid./nMore recently, the Justice Department announced charges last fall against GRU officers in cyberattacks that targeted a French presidential election, the Winter Olympics in South Korea and American businesses./nUnlike Russia’s foreign intelligence agency SVR, which is blamed for the SolarWinds hacking campaign and is careful not to be detected in its cyber ops, the GRU has carried out the most damaging cyberattacks on record, including two on Ukraine’s power grid and the 2017 NotPetya virus that caused more than US$10 billion in damage globally./nGRU operatives have also been involved in the spread of disinformation related to the coronavirus pandemic, US officials have alleged./nAnd an American intelligence assessment in March says the GRU tried to monitor people in US politics in 2019 and 2020 and staged a phishing campaign against subsidiaries of the Ukrainian energy company Burisma, likely to gather information damaging to President/nJoe Biden/n, whose son had earlier served on the board./nThe Biden administration in April sanctioned Russia after linking it to election interference and the SolarWinds breach.",https://www.9news.com.au/world/nsa-discloses-hacking-methods-used-by-russia-in-cyber-attacks/8b96db18-49d4-4649-9973-9b9d43905e1c
5,Toxic caterpillars see Londoners warned to stay away from trees,2021-07-08 00:00:00.000000,"As if the/nUK/nhadn't been through enough, Londoners are now being warned to steer clear of the local trees, due to an infestation of toxic caterpillars./nHounslow Council issued a notice to residents, saying they were working to remove the caterpillars of the oak processionary moth in the area./nThe caterpillars, recognisable by their long white hairs, can cause eye and throat irritations in humans, as well as itchy rashes and breathing difficulties./nLIVE UPDATES:/n/nBrisbane lockdown extended/nREAD MORE:/n/nPair of birds wreak havoc in Texas city/nTheir nests are usually found on oak tree trunks or branches which can occur in rounded and sometimes hammock-like nests that resemble a greyish bundle of cotton./nIf left unchecked, the invasive species can decimate oak trees by stripping them of their leaves, resulting in bare trees that are more open to disease and other pests./nThe species was accidentally imported to the UK in recent years./nREAD MORE:/n/nSolving India's deadly conflict between humans and elephants/nCouncillor Samia Chaudhary, Cabinet Member for Leisure Services, urged people to notify council if they spotted the bugs or their nests./n""It's also advisable to minimise spending time under or in the downwind of any infested oak tree, especially on windy days during the summer,"" she said./n""It's important that residents should not attempt to remove the nests themselves.""",https://www.9news.com.au/world/toxic-caterpillars-london-council-hounslow-warning-residents/69139028-c47e-49f8-8f95-5ec4443edb63
6,London teenager stabbed to death after opening front door,2021-07-08 00:00:00.000000,"A teenage boy has been killed after answering his front door in the London town of Croydon./nPolice believe the killer or killers knocked on the boy's door in Bracken Avenue at about 12.46am on Thursday morning (local time), and attacked with a knife when the door was opened./nOfficers found the teenager inside with stab wounds./nLIVE UPDATES:/n/nBrisbane lockdown extended/nREAD MORE:/n/nHundreds rally over UK police legislation/nThey provided first aid, but the boy was pronounced dead at the scene./nThe boy has not yet been formally identified, but police said his next of kin had been told of his death./nPolice are also investigating a second, linked crime scene nearby where a car believed to be used by the suspects had been dumped./nChief Superintendent Andy Brittain, in charge of policing in Croydon, said the family was being supported./nREAD MORE:/n/nMet Police chief will not resign over Sarah Everard vigil scenes/n""I am deeply saddened by the needless loss of yet another young life to knife crime,"" he said./n""The full circumstances surrounding this incident are yet to be established, but even at this early stage I do know, that this young man being killed inside his family home, will send shockwaves through our community.""/nNobody has been arrested, and the investigation continues.",https://www.9news.com.au/world/teenage-boy-stabbed-at-front-door-croydon-london/1addda8d-952f-40b0-ac17-4074ae10aad7
7,Prince William and Prince Harry unite to unveil Princess Diana statue to mark mum's 60th birthday,2021-07-08 00:00:00.000000,"Prince William and Prince Harry have unveiled a statue of their mother, Princess Diana, on what would have been her 60th birthday./nThe Duke and Cambridge and Duke of Sussex were joined at Kensington Palace by a small number of guests, including Diana's siblings Charles Spencer, Lady Sarah McCorquodale and Lady Jane Fellowes./n""Today, on what would have been our Mother's 60th birthday, we remember her love, strength and character – qualities that made her a force for good around the world, changing countless lives for the better,"" the brothers said in a joint statement./n""Every day, we wish she were still with us, and our hope is that this statue will be seen forever as a symbol of her life and her legacy./n""Thank you to Ian Rank-Broadley, Pip Morrison and their teams for their outstanding work, to the friends and donors who helped make this happen, and to all those around the world who keep our mother's memory alive.""/nThe statue, commissioned by the brothers in 2017, is positioned in the Sunken Garden at Kensington Palace, one of Diana's favourite spots within the London residence./nIt depicts the royal surrounded by three children representing the ""universality and generational impact"" of Diana's work, a palace statement explains./n""The portrait and style of dress was based on the final period of her life as she gained confidence in her role as an ambassador for humanitarian causes and aims to convey her character and compassion,"" the palace added./nThe unveiling began at 11pm AEST (2pm local time), taking place in the Sunken Garden, one of Diana's favourite spots in the grounds of the London palace where she once lived./nThe half-hour ceremony was a private affair, with only close family, members of the statue committee, sculptor Ian Rank-Broadley, garden designer Pip Morrison and Chair of Historic Royal Palaces, Rupert Gavin in attendance, and no live media coverage./nIt marked the first time the Duke of Cambridge and Duke of Sussex have met face-to-face since the funeral for their grandfather Prince Philip in Windsor in April./nHarry returned to the UK from the US to attend the event; Meghan, the Duchess of Sussex, has remained at home in California with their children Archie and Lilibet./nThe duke has been staying in Windsor during his time in the UK.",https://www.9news.com.au/world/princess-diana-statue-unveiling-2021-prince-harry-prince-william-reunite-as-royal-rift-simmers/cb7d0c9a-d0a0-4bda-bbd3-e9a5e68477a4
8,Putin says West can't win war with Russia after Black Sea incident,2021-07-12 00:00:00.000000,"Russian President/nVladimir Putin/nhas said an incident involving a British destroyer in the Black Sea couldn't have triggered a global conflict even if Russia had sunk the warship because the West knows it can't win such a war./nThe tough statement appeared to indicate his resolve to raise the stakes should a similar incident happen again./nSpeaking in a marathon call-in show, Mr Putin also revealed that he received the domestically produced Sputnik V coronavirus vaccine and urged Russians to get vaccinated as the country battles a devastating surge of cases and deaths amid widespread hesitancy to get the shot./nLIVE UPDATES:/n/nNew Sydney COVID cases visited shopping centre, barber, a pool/nREAD MORE:/n/nRussian jets launch 'mock attacks' against Dutch warship/nMr Putin was asked about the June 23 incident in the Black Sea, in which Russia said one of its warships fired warning shots and a warplane dropped bombs in the path of Britain's HMS Defender to force it from an area near Crimea that Moscow claims as its territorial waters./nHe said a US reconnaissance aircraft had joined what he described as a ""provocation"" to test Russia's response./nBritain, which like most other nations does not recognise Russia's 2014 annexation of Crimea, insisted the Defender wasn't fired upon and said it was sailing in Ukrainian waters./n""HMS Defender was conducting innocent passage through Ukrainian territorial waters in accordance with international law,"" Britain's Defense Ministry said./nAsked if the events could have triggered a global war, Mr Putin responded that the West wouldn't risk a full-scale conflict./n""Even if we had sunk that ship, it would be hard to imagine that it would put the world on the brink of World War III because those who do it know that they can't emerge as winners in that war, and it's very important,"" Mr Putin said./nREAD MORE:/n/nRussia tests giant nuclear submarine packed with secret weapons/nThe statement followed Russian officials' warning that if a Western warship enters the waters again, the military could fire on it./nMr Putin charged that the US reconnaissance aircraft that took off from the Greek island of Crete was operating in concert with the British ship on an apparent mission to monitor the Russian military's response to the British destroyer./n""It was clearly a provocation, a complex one involving not only the British but also the Americans,"" he said, adding that Moscow was aware of the US intentions and responded accordingly to avoid revealing sensitive data./nAsked about Mr Putin's claim, Navy Captain Wendy Snyder, the chief of public affairs for the US European Command, said that ""yes, we did have aircraft in operations,"" but reaffirmed the Pentagon's earlier dismissal of the Russian description of the incident as false./n""We are operating in and watching everything in the Black Sea region, as we always do,"" Captain Snyder said./nThe Russian leader specifically lamented that the incident closely followed his summit with US President Joe Biden in Geneva last month./nREAD MORE:/n/nRussia threatens to bomb 'on target' as UK plans to repeat ship journey/n""The world is undergoing a radical change,"" he said./n""Our US partners realise that, and that's why the Geneva meeting took place. But on the other hand, they are trying to secure their monopolist stance, resulting in threats and destructive action such as drills, provocations and sanctions.""/nEven though the West doesn't recognise Crimea as part of Russia, Mr Putin said the naval incident took the controversy to a new level./n""They don't recognise something — OK, they can keep refusing to recognise it,"" he said./n""But why conduct such provocations?""/nMr Putin insisted Russia would firmly defend its interests./n""We are fighting for ourselves and our future on our own territory,"" he said./n""It's not us who traveled thousands of kilometres to come to them; it's them who have come to our borders and violated our territorial waters.""/nDmitri Trenin, the director of the Carnegie Moscow Center, warned that last week's Black Sea incident presages a new, riskier level of confrontation./n""Fresh attempts to expose Russian 'red line' deterrence as hollow - whether on the ground, in the air, or at sea - would push Moscow to defend what it cannot give up without losing its self-respect,"" Mr Trenin said in a commentary./n""This would almost inevitably lead to clashes and casualties, which would carry the risk of further escalation. Should this happen, Russia-NATO confrontation would deteriorate literally to the point of brinkmanship, a truly bleak scenario.""/nMr Putin also reaffirmed his claim of a close kinship between the Russian and Ukrainian people, but accused Kyiv of hostility toward Russia and voiced doubt about the value of a meeting with Ukrainian President Volodymyr Zelenskyy, calling him a Western pawn./n""Why meet Zelenskyy if he has put his country under full foreign control and key issues for Ukraine are decided not in Kyiv but in Washington, and, to a certain extent, Paris and Berlin?"" Mr Putin asked./nUkraine's Foreign Minister Dmytro Kuleba retorted by tweeting that Putin wishes Ukraine's issues were decided in Moscow. ""This is our country and it's only up to us to decide our fate,"" he added./nEarlier this year, Russia bolstered its forces near Ukraine and warned that Moscow could intervene if Kyiv used force to reclaim areas in the east controlled by Russia-backed separatists since a conflict there erupted in 2014. Moscow later pulled back some troops, but Ukrainian authorities said the bulk of them remain close to the border./nMr Putin spent most of the four-hour/nDirect Line/nshow discussing domestic issues — typical for the tightly choreographed annual rite that helps him polish his image as a strong leader caring for people's needs./nIt didn't feature any questions about Russia's beleaguered opposition and Putin's most prominent political foe, Alexei Navalny, who is in prison./nHe voiced hope the country could avoid a nationwide coronavirus lockdown amid a surge of new infections. Reported deaths in Russia hit a daily record Wednesday, with authorities reporting 669, but Mr Putin said decisions by regional officials to make vaccinations mandatory for some workers should help./nRussia has been registering over 20,000 new coronavirus cases and about 600 deaths every day since June 24. On Wednesday, 21,042 new infections were recorded./nRussian officials blame the June surge on Russians' lax attitude toward taking precautions, more infectious variants, and a low rate of vaccinations, which experts attribute to widespread hesitancy to get the shot and limited vaccine production./nAlthough Russia was among the first countries to deploy a vaccine, just over 15 percent of the population has received at least one shot./nAmid this hesitancy, Mr Putin revealed he received the Sputnik V vaccine. Mr Putin got his first shot in late March out of the public eye and has remained tight-lipped about which vaccine he chose./nOn other issues, Mr Putin said Russia has no intention of banning Western social media platforms but emphasized that the government merely wants them to abide by the law, promptly remove inappropriate content and open offices in Russia./n""We tell them: 'You're spreading child pornography, or instructions on (how to commit) suicide, or how to create Molotov cocktails. ... You must take it down,' and they simply don't listen, don't want to listen to what we tell them,"" Mr Putin said./n""But this is wrong.""",https://www.9news.com.au/world/putin-says-west-cant-win-war-with-russia-after-black-sea-encounter/61a875f0-3e6c-4ab0-a3a5-786b4214c033
9,British man beats record for most M&M's stacked in a tower,2021-06-12 00:00:00.000000,"A British civil engineer has broke an unlikely lolly-related world/nrecord/n- the most M&M's stacked in a tower./nWill Cutbill from Solihull in England decided to try and break the record during the/nUK's/nlockdown./nAfter ""hundreds"" of failed attempts over a few hours, Mr Cutbill smashed the previous Guinness Word Record./nREAD MORE:/n/nHow a Sydney nurse spent her record-breaking $107m Powerball prize/nBut the number of lollies he managed to make stand in his high-rise lolly creation might come as a shock./nIt's just five./nHe admits people are surprised./n""When I tell them it's a whopping five I think they're a bit shocked,"" he told CNN./n""It's a lot harder than it looks.""/n""They're not a flat as you think, they're quite spherical, so it's a bit like, if you can imaging balancing footballs, or soccer balls./nHe said it took him hundreds of goes but he said he was ""ecstatic"" when his stack finally stood still./n""I was running around the room, arms in the air,"" he said./nAnd once the record was broken, there was only one way to celebrate./n""I've got to admit, I did eat them all,"" he said.",https://www.9news.com.au/national/guinness-world-record-stacking-m-and-ms-uk-news/fabd2c45-287b-477f-809d-549553087c1f
